"Franciszek Ksawery Lampi","1782-01-22"
"Yannis Stavrou","1948-06-21"
"Hans Dürer","1490-02-21"
"David Klein","1918-02-23"
"Charles-Amédée-Philippe van Loo","1719-08-25"
"William Beckwith McInnes","1889-05-18"
"Pete McKee","1966-02-01"
"Hyacinthe Rigaud","1659-07-18"
"Henry Ossawa Tanner","1859-06-21"
"Patrick Henry Bruce","1881-03-25"
"Martin Ryckaert","1587-12-08"
"Mabel Alvarez","1891-11-28"
"Theodoor Rombouts","1597-07-02"
"Joseph Severn","1793-12-07"
"Lucy Bacon","1857-07-30"
"Nathaniel Dance-Holland","1735-05-08"
"Simon Hantaï","1922-12-07"
"Willard Metcalf","1858-07-01"
"Don Federico de Madrazo y Kuntz","1815-02-12"
"Irving Ramsey Wiles","1861-04-08"
"Andrea Pozzo","1642-11-30"
"Albert Schickedanz","1846-10-14"
"Filippo Lauri","1623-08-25"
"Julliette Carignan","1958-01-06"
"Jiawei Shen","1948-09-16"
"Johann Michael Rottmayr","1656-12-11"
"Aleksandra Ekster","1882-01-06"
"Mariano Fortuny","1838-06-11"
"Hovsep Pushman","1877-05-09"
"Howard Hodgkin","1932-08-06"
"Sophie Pemberton","1869-02-13"
"Wilhelm Ottermanns","1913-07-04"
"David Hockney","1937-07-09"
"Frans Koppelaar","1943-04-23"
"Władysław Podkowiński","1866-02-04"
"Camilo Mori","1896-09-24"
"Taddeo Zuccari","1529-09-01"
"Thomas Phillips","1770-10-18"
"John Elwood Bundy","1853-05-01"
"Henri Fantin-Latour","1836-01-14"
"Giuseppe Bartolomeo Chiari","1654-03-10"
"Ratnadeep Adivrekar","1974-11-13"
"Lucas Cranach the Younger","1515-10-04"
"Joseph Ducreux","1735-06-26"
"Heinrich Vogeler","1872-12-12"
"Louis-Michel van Loo","1707-03-02"
"Joash Woodrow","1927-04-06"
"Edmond Aman-Jean","1858-01-13"
"Friedrich von Bömches","1916-12-27"
"Fernand Pelez","1843-01-18"
"Maggi Hambling","1945-10-23"
"Alfred East","1849-12-15"
"Pieter de Hooch","1629-12-20"
